"forme";"z";"type"
"chamoiser";1;7
"champagniser";1;7
"champlever";0;7
"chanceler";0;7
"chancir";0;7
"chanfreiner";0;7
"changer";0;7
"chansonner";0;7
"chanstiquer";0;7
"chanter";0;7
"chantonner";0;7
"chantourner";0;7
"chaparder";0;7
"chapeauter";0;7
"chapeler";0;7
"chaperonner";0;7
"chapitrer";0;7
"chaponner";0;7
"chaptaliser";1;7
"charbonner";0;7
"charcuter";0;7
"charger";0;7
"charioter";0;7
"charmer";0;7
"charpenter";0;7
"charrier";0;7
"charroyer";0;7
"chartériser";1;7
"chasser";0;7
"châtaigner";0;7
"châtier";0;7
"chatonner";0;7
"chatouiller";0;7
"chatoyer";0;7
"châtrer";0;7
"chauffer";0;7
"chauler";0;7
"chaumer";0;7
"chausser";0;7
"chauvir";0;7
"chavirer";0;7
"chelinguer";0;7
"cheminer";0;7
"chemiser";1;7
"chercher";0;7
"chérer";0;7
"chérir";0;7
"cherrer";0;7
"chevaler";0;7
"chevaucher";0;7
"cheviller";0;7
"chevreter";0;7
"chevretter";0;7
"chevronner";0;7
"chevroter";0;7
"chiader";0;7
"chialer";0;7
"chicaner";0;7
"chicoter";0;7
"chienner";0;7
"chier";0;7
"chiffonner";0;7
"chiffrer";0;7
"chigner";0;7
"chiner";0;7
"chinoiser";1;7
"chiper";0;7
"chipoter";0;7
"chiquer";0;7
"chirographier";0;7
"chlinguer";0;7
"chlorer";0;7
"chloroformer";0;7
"chlorurer";0;7
"chniquer";0;7
"choir";0;7
"choisir";1;7
"chômer";0;7
"choper";0;7
"chopiner";0;7
"chopper";0;7
"choquer";0;7
"chorégraphier";0;7
"chosifier";1;7
"chouchouter";0;7
"chouraver";0;7
"chourer";0;7
"chouriner";0;7
"choyer";0;7
"christianiser";1;7
"chromer";0;7
"chromiser";1;7
"chroniquer";0;7
"chronométrer";0;7
"chuchoter";0;7
"chuinter";0;7
"chuter";0;7
"cibler";0;7
"cicatriser";1;7
"ciller";0;7
"cimenter";0;7
"cinématographier";0;7
"cingler";0;7
"cintrer";0;7
"circoncire";0;7
"circonscrire";0;7
"circonstancier";0;7
"circonvenir";0;7
"circuiter";0;7
"décapitaliser";1;7
"décapiter";0;7
"décapoter";0;7
"décapsuler";0;7
"décapuchonner";0;7
"décarbonater";0;7
"décarburer";0;7
"se décarcasser";0;7
"décarreler";0;7
"décarrer";0;7
"décartonner";0;7
"décatir";0;7
"décauser";1;7
"décavaillonner";0;7
"décaver";0;7
"décéder";0;7
"déceler";0;7
"décélérer";0;7
"décentraliser";1;7
"décentrer";0;7
"décercler";0;7
"décérébrer";0;7
"décerner";0;7
"décerveler";0;7
"décesser";0;7
"décevoir";0;7
"déchagriner";0;7
"déchaîner";0;7
"déchamer";0;7
"déchanter";0;7
"déchaper";0;7
"déchaperonner";0;7
"décharger";0;7
"décharner";0;7
"déchaumer";0;7
"déchausser";0;7
"déchevêtrer";0;7
"décheviller";0;7
"déchiffonner";0;7
"déchiffrer";0;7
"déchiqueter";0;7
"déchirer";0;7
"déchlorurer";0;7
"déchoir";0;7
"déchoquer";0;7
"déchristianiser";1;7
"déchromer";0;7
"corner";0;7
"décider";0;7
