"forme";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15";"16";"17";"18";"19";"20";"21";"22";"23";"24";"25";"26";"27";"28";"29";"30";"34";"35";"36";"37";"38";"39";"40";"41";"42";"43";"44";"45";"46";"47";"48";"49";"50";"51";"52";"53";"54";"55";"56";"57";"58";"59";"60";"61";"62";"63";"64";"65";"66";"67";"68";"69";"70";"71";"72";"73";"74";"75";"76";"77";"78";"79";"80";"81";"82";"83";"84";"85";"86";"87";"88";"89";"90";"91";"92";"93";"94";"95";"96";"97";"98";"99";"100";"101";"31";"32";"33";"Z";"indice"
"abasourdir";"abasourdis";"abasourdis";"abasourdit";"abasourdissons";"abasourdissez";"abasourdissent";"ai abasourdi";"as abasourdi";"a abasourdi";"avons abasourdi";"avez abasourdi";"ont abasourdi";"abasourdissais";"abasourdissais";"abasourdissait";"abasourdissions";"abasourdissiez";"abasourdissaient";"abasourdis";"abasourdis";"abasourdit";"abasourdîmes";"abasourdîtes";"abasourdirent";"avais abasourdi";"avais abasourdi";"avait abasourdi";"avions abasourdi";"aviez abasourdi";"avaient abasourdi";"abasourdirai";"abasourdiras";"abasourdira";"abasourdirons";"abasourdirez";"abasourdiront";"aurai abasourdi";"auras abasourdi";"aura abasourdi";"aurons abasourdi";"aurez abasourdi";"auront abasourdi";"eus abasourdi";"eus abasourdi";"eut abasourdi";"eûmes  abasourdi";"eûtes abasourdi";"eurent abasourdi";"aurais abasourdi";"aurais abasourdi";"aurait abasourdi";"aurions abasourdi";"auriez abasourdi";"auraient abasourdi";"abasourdisse";"abasourdisses";" abasourdisse";"abasourdissions";"abasourdissiez";"abasourdissent";"aie abasourdi";"aies abasourdi";" ait abasourdi";"ayons abasourdi";"ayez abasourdi";"aient abasourdi";"eusse abasourdi";"eusses abasourdi";"est abasourdi";"eussions abasourdi";"eussiez abasourdi";"eussent abasourdi";"abasourdirais";"abasourdirais";"abasourdirait";"abasourdirions";"abasourdiriez";"abasourdiraient";"abasourdisse";"abasourdisses";"abasourdissions";" abasourdît";"abasourdissiez";"abasourdissent";"eusse abasourdi";"eusses abasourdi";" est abasourdi";"eussions abasourdi";"eussiez abasourdi";"eussent abasourdi";"ayons abasourdi";"ayez abasourdi";"aie abasourdi";"avoir abasourdi";"abasourdie";"abasourdi";"abasourdissant";"ayant abasourdi";"abasourdissons";"abasourdissez";"abasourdis";1;0
"abraser";"abrase";"abrases";"abrase";"abrasons";"abrasez";"abrasent";"ai abrasé";"as abrasé";"a abrasé";"avons abrasé";"avez abrasé";"ont abrasé";"abrasais";"abrasais";"abrasait";"abrasions";"abrasiez";"abrasaient";"abrasai";"abrasas";"abrasa";"abrasâmes";"abrasâtes";"abrasèrent";"avais abrasé";"avais abrasé";"avait abrasé";"avions abrasé";"aviez abrasé";"avaient abrasé";"abraserai";"abraseras";"abrasera";"abraserons";"abraserez";"abraseront";"aurai abrasé";"auras abrasé";"aura abrasé";"aurons abrasé";"aurez abrasé";"auront abrasé";"eus abrasé";"eus abrasé";"eut abrasé";"eûmes  abrasé";"eûtes abrasé";"eurent abrasé";"aurais abrasé";"aurais abrasé";"aurait abrasé";"aurions abrasé";"auriez abrasé";"auraient abrasé";"abrase";"abrases";" abrase";"abrasions";"abrasiez";"abrasent";"aie abrasé";"aies abrasé";" ait abrasé";"ayons abrasé";"ayez abrasé";"aient abrasé";"eusse abrasé";"eusses abrasé";"est abrasé";"eussions abrasé";"eussiez abrasé";"eussent abrasé";"abraserais";"abraserais";"abraserait";"abraserions";"abraseriez";"abraseraient";"abrasasse";"abrasasses";"abrasassions";" abrasât";"abrasassiez";"abrasassent";"eusse abrasé";"eusses abrasé";" est abrasé";"eussions abrasé";"eussiez abrasé";"eussent abrasé";"ayons abrasé";"ayez abrasé";"aie abrasé";"avoir abrasé";"abrasée";"abrasé";"abrasant";"ayant abrasé";"abrasons";"abrasez";"abrase";1;0
"abuser";"abuse";"abuses";"abuse";"abusons";"abusez";"abusent";"ai abusé";"as abusé";"a abusé";"avons abusé";"avez abusé";"ont abusé";"abusais";"abusais";"abusait";"abusions";"abusiez";"abusaient";"abusai";"abusas";"abusa";"abusâmes";"abusâtes";"abusèrent";"avais abusé";"avais abusé";"avait abusé";"avions abusé";"aviez abusé";"avaient abusé";"abuserai";"abuseras";"abusera";"abuserons";"abuserez";"abuseront";"aurai abusé";"auras abusé";"aura abusé";"aurons abusé";"aurez abusé";"auront abusé";"eus abusé";"eus abusé";"eut abusé";"eûmes  abusé";"eûtes abusé";"eurent abusé";"aurais abusé";"aurais abusé";"aurait abusé";"aurions abusé";"auriez abusé";"auraient abusé";"abuse";"abuses";" abuse";"abusions";"abusiez";"abusent";"aie abusé";"aies abusé";" ait abusé";"ayons abusé";"ayez abusé";"aient abusé";"eusse abusé";"eusses abusé";"est abusé";"eussions abusé";"eussiez abusé";"eussent abusé";"abuserais";"abuserais";"abuserait";"abuserions";"abuseriez";"abuseraient";"abusasse";"abusasses";"abusassions";" abusât";"abusassiez";"abusassent";"eusse abusé";"eusses abusé";" est abusé";"eussions abusé";"eussiez abusé";"eussent abusé";"ayons abusé";"ayez abusé";"aie abusé";"avoir abusé";"abusée";"abusé";"abusant";"ayant abusé";"abusons";"abusez";"abuse";1;24
"accessoiriser";"accessoirise";"accessoirises";"accessoirise";"accessoirisons";"accessoirisez";"accessoirisent";"ai accessoirisé";"as accessoirisé";"a accessoirisé";"avons accessoirisé";"avez accessoirisé";"ont accessoirisé";"accessoirisais";"accessoirisais";"accessoirisait";"accessoirisions";"accessoirisiez";"accessoirisaient";"accessoirisai";"accessoirisas";"accessoirisa";"accessoirisâmes";"accessoirisâtes";"accessoirisèrent";"avais accessoirisé";"avais accessoirisé";"avait accessoirisé";"avions accessoirisé";"aviez accessoirisé";"avaient accessoirisé";"accessoiriserai";"accessoiriseras";"accessoirisera";"accessoiriserons";"accessoiriserez";"accessoiriseront";"aurai accessoirisé";"auras accessoirisé";"aura accessoirisé";"aurons accessoirisé";"aurez accessoirisé";"auront accessoirisé";"eus accessoirisé";"eus accessoirisé";"eut accessoirisé";"eûmes  accessoirisé";"eûtes accessoirisé";"eurent accessoirisé";"aurais accessoirisé";"aurais accessoirisé";"aurait accessoirisé";"aurions accessoirisé";"auriez accessoirisé";"auraient accessoirisé";;;;;;;"aie accessoirisé";"aies accessoirisé";" ait accessoirisé";"ayons accessoirisé";"ayez accessoirisé";"aient accessoirisé";"eusse accessoirisé";"eusses accessoirisé";"est accessoirisé";"eussions accessoirisé";"eussiez accessoirisé";"eussent accessoirisé";"accessoiriserais";"accessoiriserais";"accessoiriserait";"accessoiriserions";"accessoiriseriez";"accessoiriseraient";"accessoirisasse";"accessoirisasses";"accessoirisassions";" accessoirisât";"accessoirisassiez";"accessoirisassent";"eusse accessoirisé";"eusses accessoirisé";;"eussions accessoirisé";"eussiez accessoirisé";"eussent accessoirisé";"ayons accessoirisé";"ayez accessoirisé";"aie accessoirisé";"avoir accessoirisé";"accessoirisée";"accessoirisé";"accessoirisant";;"accessoirisons";"accessoirisez";"accessoirise";1;0
"accessoriser";"accessorise";"accessorises";"accessorise";"accessorisons";"accessorisez";"accessorisent";"ai accessorisé";"as accessorisé";"a accessorisé";"avons accessorisé";"avez accessorisé";"ont accessorisé";"accessorisais";"accessorisais";"accessorisait";"accessorisions";"accessorisiez";"accessorisaient";"accessorisai";"accessorisas";"accessorisa";"accessorisâmes";"accessorisâtes";"accessorisèrent";"avais accessorisé";"avais accessorisé";"avait accessorisé";"avions accessorisé";"aviez accessorisé";"avaient accessorisé";"accessoriserai";"accessoriseras";"accessorisera";"accessoriserons";"accessoriserez";"accessoriseront";"aurai accessorisé";"auras accessorisé";"aura accessorisé";"aurons accessorisé";"aurez accessorisé";"auront accessorisé";"eus accessorisé";"eus accessorisé";"eut accessorisé";"eûmes  accessorisé";"eûtes accessorisé";"eurent accessorisé";"aurais accessorisé";"aurais accessorisé";"aurait accessorisé";"aurions accessorisé";"auriez accessorisé";"auraient accessorisé";"accessorise";;" accessorise";"accessorisions";"accessorisiez";;"aie accessorisé";"aies accessorisé";" ait accessorisé";"ayons accessorisé";"ayez accessorisé";"aient accessorisé";"eusse accessorisé";"eusses accessorisé";"est accessorisé";"eussions accessorisé";"eussiez accessorisé";"eussent accessorisé";"accessoriserais";"accessoriserais";"accessoriserait";"accessoriserions";"accessoriseriez";"accessoriseraient";"accessorisasse";"accessorisasses";"accessorisassions";" accessorisât";"accessorisassiez";"accessorisassent";"eusse accessorisé";"eusses accessorisé";" est accessorisé";"eussions accessorisé";"eussiez accessorisé";"eussent accessorisé";"ayons accessorisé";"ayez accessorisé";"aie accessorisé";"avoir accessorisé";"accessorisée";"accessorisé";"accessorisant";;"accessorisons";"accessorisez";"accessorise";1;0
"accuser";"accuse";"accuses";"accuse";"accusons";"accusez";"accusent";"ai accusé";"as accusé";"a accusé";"avons accusé";"avez accusé";"ont accusé";"accusais";"accusais";"accusait";"accusions";"accusiez";"accusaient";"accusai";"accusas";"accusa";"accusâmes";"accusâtes";"accusèrent";"avais accusé";"avais accusé";"avait accusé";"avions accusé";"aviez accusé";"avaient accusé";"accuserai";"accuseras";"accusera";"accuserons";"accuserez";"accuseront";"aurai accusé";"auras accusé";"aura accusé";"aurons accusé";"aurez accusé";"auront accusé";"eus accusé";"eus accusé";"eut accusé";"eûmes  accusé";"eûtes accusé";"eurent accusé";"aurais accusé";"aurais accusé";"aurait accusé";"aurions accusé";"auriez accusé";"auraient accusé";"accuse";"accuses";" accuse";"accusions";"accusiez";"accusent";"aie accusé";"aies accusé";" ait accusé";"ayons accusé";"ayez accusé";"aient accusé";"eusse accusé";"eusses accusé";"est accusé";"eussions accusé";"eussiez accusé";"eussent accusé";"accuserais";"accuserais";"accuserait";"accuserions";"accuseriez";"accuseraient";"accusasse";"accusasses";"accusassions";" accusât";"accusassiez";"accusassent";"eusse accusé";"eusses accusé";" est accusé";"eussions accusé";"eussiez accusé";"eussent accusé";"ayons accusé";"ayez accusé";"aie accusé";"avoir accusé";"accusée";"accusé";"accusant";"ayant accusé";"accusons";"accusez";"accuse";1;92
"achromatiser";"achromatise";"achromatises";"achromatise";"achromatisons";"achromatisez";"achromatisent";"ai achromatisé";"as achromatisé";"a achromatisé";"avons achromatisé";"avez achromatisé";"ont achromatisé";"achromatisais";"achromatisais";"achromatisait";"achromatisions";"achromatisiez";"achromatisaient";"achromatisai";"achromatisas";"achromatisa";"achromatisâmes";"achromatisâtes";"achromatisèrent";"avais achromatisé";"avais achromatisé";"avait achromatisé";"avions achromatisé";"aviez achromatisé";"avaient achromatisé";"achromatiserai";"achromatiseras";"achromatisera";"achromatiserons";"achromatiserez";"achromatiseront";"aurai achromatisé";"auras achromatisé";"aura achromatisé";"aurons achromatisé";"aurez achromatisé";"auront achromatisé";"eus achromatisé";"eus achromatisé";"eut achromatisé";"eûmes  achromatisé";"eûtes achromatisé";"eurent achromatisé";"aurais achromatisé";"aurais achromatisé";"aurait achromatisé";"aurions achromatisé";"auriez achromatisé";"auraient achromatisé";"achromatise";;" achromatise";"achromatisions";"achromatisiez";;"aie achromatisé";"aies achromatisé";" ait achromatisé";"ayons achromatisé";"ayez achromatisé";"aient achromatisé";"eusse achromatisé";"eusses achromatisé";"est achromatisé";"eussions achromatisé";"eussiez achromatisé";"eussent achromatisé";"achromatiserais";"achromatiserais";"achromatiserait";"achromatiserions";"achromatiseriez";"achromatiseraient";"achromatisasse";"achromatisasses";"achromatisassions";" achromatisât";"achromatisassiez";"achromatisassent";"eusse achromatisé";"eusses achromatisé";" est achromatisé";"eussions achromatisé";"eussiez achromatisé";"eussent achromatisé";"ayons achromatisé";"ayez achromatisé";"aie achromatisé";"avoir achromatisé";"achromatisée";"achromatisé";"achromatisant";;"achromatisons";"achromatisez";"achromatise";1;0
"aciseler";"acisèle";"acisèles";"acisèle";"aciselons";"aciselez";"acisèlent";"ai aciselé";"as aciselé";"a aciselé";"avons aciselé";"avez aciselé";"ont aciselé";"aciselais";"aciselais";"aciselait";"aciselions";"aciseliez";"aciselaient";"aciselai";"aciselas";"acisela";"aciselâmes";"aciselâtes";"aciselèrent";"avais aciselé";"avais aciselé";"avait aciselé";"avions aciselé";"aviez aciselé";"avaient aciselé";"acisèlerai";"acisèleras";"acisèlera";"acisèlerons";"acisèlerez";"acisèleront";"aurai aciselé";"auras aciselé";"aura aciselé";"aurons aciselé";"aurez aciselé";"auront aciselé";"eus aciselé";"eus aciselé";"eut aciselé";"eûmes  aciselé";"eûtes aciselé";"eurent aciselé";"aurais aciselé";"aurais aciselé";"aurait aciselé";"aurions aciselé";"auriez aciselé";"auraient aciselé";"acisèle";"acisèles";" acisèle";"aciselions";"aciseliez";"acisèlent";"aie aciselé";"aies aciselé";" ait aciselé";"ayons aciselé";"ayez aciselé";"aient aciselé";"eusse aciselé";"eusses aciselé";"est aciselé";"eussions aciselé";"eussiez aciselé";"eussent aciselé";"acisèlerais";"acisèlerais";"acisèlerait";"acisèlerions";"acisèleriez";"acisèleraient";"aciselasse";"aciselasses";"aciselassions";" aciselât";"aciselassiez";"aciselassent";"eusse aciselé";"eusses aciselé";" est aciselé";"eussions aciselé";"eussiez aciselé";"eussent aciselé";"ayons aciselé";"ayez aciselé";"aie aciselé";"avoir aciselé";"aciselée";"aciselé";"aciselant";"ayant aciselé";"aciselons";"aciselez";"acisèle";1;0
"défavoriser";"défavorise";"défavorises";"défavorise";"défavorisons";"défavorisez";"défavorisent";"ai défavorisé";"as défavorisé";"a défavorisé";"avons défavorisé";"avez défavorisé";"ont défavorisé";"défavorisais";"défavorisais";"défavorisait";"défavorisions";"défavorisiez";"défavorisaient";"défavorisai";"défavorisas";"défavorisa";"défavorisâmes";"défavorisâtes";"défavorisèrent";"avais défavorisé";"avais défavorisé";"avait défavorisé";"avions défavorisé";"aviez défavorisé";"avaient défavorisé";"défavoriserai";"défavoriseras";"défavorisera";"défavoriserons";"défavoriserez";"défavoriseront";"aurai défavorisé";"auras défavorisé";"aura défavorisé";"aurons défavorisé";"aurez défavorisé";"auront défavorisé";"eus défavorisé";"eus défavorisé";"eut défavorisé";"eûmes  défavorisé";"eûtes défavorisé";"eurent défavorisé";"aurais défavorisé";"aurais défavorisé";"aurait défavorisé";"aurions défavorisé";"auriez défavorisé";"auraient défavorisé";"défavorise";"défavorises";" défavorise";"défavorisions";"défavorisiez";"défavorisent";"aie défavorisé";"aies défavorisé";" ait défavorisé";"ayons défavorisé";"ayez défavorisé";"aient défavorisé";"eusse défavorisé";"eusses défavorisé";"est défavorisé";"eussions défavorisé";"eussiez défavorisé";"eussent défavorisé";"défavoriserais";"défavoriserais";"défavoriserait";"défavoriserions";"défavoriseriez";"défavoriseraient";"défavorisasse";"défavorisasses";"défavorisassions";" défavorisât";"défavorisassiez";"défavorisassent";"eusse défavorisé";"eusses défavorisé";" est défavorisé";"eussions défavorisé";"eussiez défavorisé";"eussent défavorisé";"ayons défavorisé";"ayez défavorisé";"aie défavorisé";"avoir défavorisé";"défavorisée";"défavorisé";"défavorisant";"ayant défavorisé";"défavorisons";"défavorisez";"défavorise";1;8
"déferriser";"déferrise";"déferrises";"déferrise";"déferrisons";"déferrisez";"déferrisent";"ai déferrisé";"as déferrisé";"a déferrisé";"avons déferrisé";"avez déferrisé";"ont déferrisé";"déferrisais";"déferrisais";"déferrisait";"déferrisions";"déferrisiez";"déferrisaient";"déferrisai";"déferrisas";"déferrisa";"déferrisâmes";"déferrisâtes";"déferrisèrent";"avais déferrisé";"avais déferrisé";"avait déferrisé";"avions déferrisé";"aviez déferrisé";"avaient déferrisé";"déferriserai";"déferriseras";"déferrisera";"déferriserons";"déferriserez";"déferriseront";"aurai déferrisé";"auras déferrisé";"aura déferrisé";"aurons déferrisé";"aurez déferrisé";"auront déferrisé";"eus déferrisé";"eus déferrisé";"eut déferrisé";"eûmes  déferrisé";"eûtes déferrisé";"eurent déferrisé";"aurais déferrisé";"aurais déferrisé";"aurait déferrisé";"aurions déferrisé";"auriez déferrisé";"auraient déferrisé";"déferrise";"déferrises";" déferrise";"déferrisions";"déferrisiez";"déferrisent";"aie déferrisé";"aies déferrisé";" ait déferrisé";"ayons déferrisé";"ayez déferrisé";"aient déferrisé";"eusse déferrisé";"eusses déferrisé";"est déferrisé";"eussions déferrisé";"eussiez déferrisé";"eussent déferrisé";"déferriserais";"déferriserais";"déferriserait";"déferriserions";"déferriseriez";"déferriseraient";"déferrisasse";"déferrisasses";"déferrisassions";" déferrisât";"déferrisassiez";"déferrisassent";"eusse déferrisé";"eusses déferrisé";" est déferrisé";"eussions déferrisé";"eussiez déferrisé";"eussent déferrisé";"ayons déferrisé";"ayez déferrisé";"aie déferrisé";"avoir déferrisé";"déferrisée";"déferrisé";"déferrisant";"ayant déferrisé";"déferrisons";"déferrisez";"déferrise";1;0
