"forme";"féminin";"féminin_pluriel";"pluriel";"z";"indice";"Id"
"abrasif";"abrasive";"abrasives";"abrasifs";1;3;45404
"abasourdissant";"abasourdissante";"abasourdissantes";"abasourdissants";1;0;84635
"abusif";"abusive";"abusives";"abusifs";1;11;45428
"abrasant";"abrasante";"abrasantes";"abrasants";1;0;84659
"accusateur";"accusatrice";"accusatrices";"accusateurs";1;7;45473
"acquisitif";"acquisitive";"acquisitives";"acquisitifs";1;0;45502
"conclusif";"conclusive";"conclusives";"conclusifs";1;0;121374
"alsacien";"alsacienne";"alsaciennes";"alsaciens";1;1;45739
"aléseur";"aléseuse";"aléseuses";"aléseurs";1;0;45757
"achromatisant";"achromatisante";"achromatisantes";"achromatisants";1;0;84720
"aciselant";"aciselante";"aciselantes";"aciselants";1;0;84724
"amazonien";"amazonienne";"amazoniennes";"amazoniens";1;1;45765
"ambrosien";"ambrosienne";"ambrosiennes";"ambrosiens";1;0;45772
"actualisant";"actualisante";"actualisantes";"actualisants";1;0;84731
"analyseur";"analyseuse";"analyseuses";"analyseurs";1;0;45837
"anarchisant";"anarchisante";"anarchisantes";"anarchisants";1;0;45842
"adjectivisant";"adjectivisante";"adjectivisantes";"adjectivisants";1;0;84737
"adonisant";"adonisante";"adonisantes";"adonisants";1;0;84745
"antisocial";"antisociale";"antisociales";"antisociaux";1;1;45961
"adhésif";"adhésive";"adhésives";"adhésifs";1;17;45538
"abusant";"abusante";"abusantes";"abusants";1;3;84676
"accessoirisant";"accessoirisante";"accessoirisantes";"accessoirisants";1;0;84685
"accessorisant";"accessorisante";"accessorisantes";"accessorisants";1;0;84686
"agatisé";"agatisée";"agatisées";"agatisés";1;0;45615
"aiguiseur";"aiguiseuse";"aiguiseuses";"aiguiseurs";1;0;45655
"aisé";"aisée";"aisées";"aisés";1;26;45663
"alezan";"alezane";"alezanes";"alezans";1;6;45693
"alizé";"alizée";"alizées";"alizés";1;5;45705
"accusant";"accusante";"accusantes";"accusants";1;5;84708
"allergisant";"allergisante";"allergisantes";"allergisants";1;0;45714
"allusif";"allusive";"allusives";"allusifs";1;1;45726
"ardoisier";"ardoisière";"ardoisières";"ardoisiers";1;0;46085
"arlésien";"arlésienne";"arlésiennes";"arlésiens";1;0;46105
"artisanal";"artisanale";"artisanales";"artisanaux";1;5;46136
"artésien";"artésienne";"artésiennes";"artésiens";1;1;46142
"asexuel";"asexuelle";"asexuelles";"asexuels";1;0;46157
"asexué";"asexuée";"asexuées";"asexués";1;2;46158
"asocial";"asociale";"asociales";"asociaux";1;0;46160
"africanisant";"africanisante";"africanisantes";"africanisants";1;0;84798
"agonisant";"agonisante";"agonisantes";"agonisants";1;5;84809
"azilien";"azilienne";"aziliennes";"aziliens";1;0;46349
"azimutal";"azimutale";"azimutales";"azimutaux";1;0;46350
"azoteux";"azoteuse";"azoteuses";;1;0;46351
"azoté";"azotée";"azotées";"azotés";1;3;46353
"balzacien";"balzacienne";"balzaciennes";"balzaciens";1;0;46399
"balzan";"balzane";"balzanes";"balzans";1;0;46400
"basal";"basale";"basales";"basaux";1;0;46429
"basilical";"basilicale";"basilicales";"basilicaux";1;0;46434
"besogneux";"besogneuse";"besogneuses";;1;2;46475
"aiguisant";"aiguisante";"aiguisantes";"aiguisants";1;0;84831
"bienfaisant";"bienfaisante";"bienfaisantes";"bienfaisants";1;5;46496
"bipolarisé";"bipolarisée";"bipolarisées";"bipolarisés";1;0;46544
"bisannuel";"bisannuelle";"bisannuelles";"bisannuels";1;0;46549
"bisexuel";"bisexuelle";"bisexuelles";"bisexuels";1;0;46554
"bisexué";"bisexuée";"bisexuées";"bisexués";1;0;46555
"bizarre";"";"boubou";"bizarres";1;8;46564
"alcalinisant";"alcalinisante";"alcalinisantes";"alcalinisants";1;1;84844
"alcalisant";"alcalisante";"alcalisantes";"alcalisants";1;0;84845
"alcoolisant";"alcoolisante";"alcoolisantes";"alcoolisants";1;0;84846
"alésant";"alésante";"alésantes";"alésants";1;0;84849
"allégorisant";"allégorisante";"allégorisantes";"allégorisants";1;0;84859
"brésilien";"brésilienne";"brésiliennes";"brésiliens";1;6;46725
"alphabétisant";"alphabétisante";"alphabétisantes";"alphabétisants";1;0;84870
"byzantin";"byzantine";"byzantines";"byzantins";1;3;46759
"amenuisant";"amenuisante";"amenuisantes";"amenuisants";1;0;84891
"américanisant";"américanisante";"américanisantes";"américanisants";1;0;84892
"cartésien";"cartésienne";"cartésiennes";"cartésiens";1;3;46949
"casanier";"casanière";"casanières";"casaniers";1;1;46951
"casuel";"casuelle";"casuelles";"casuels";1;0;46960
"caséeux";"caséeuse";"caséeuses";;1;1;46961
"amusant";"amusante";"amusantes";"amusants";1;1;84910
"analgésiant";"analgésiante";"analgésiantes";"analgésiants";1;0;84911
"analysant";"analysante";"analysantes";"analysants";1;12;84912
"caucasien";"caucasienne";"caucasiennes";"caucasiens";1;2;46980
"causal";"causale";"causales";"causaux";1;1;46984
"causatif";"causative";"causatives";"causatifs";1;0;46985
"causeur";"causeuse";"causeuses";"causeurs";1;1;46986
"centralisateur";"centralisatrice";"centralisatrices";"centralisateurs";1;0;47010
"centésimal";"centésimale";"centésimales";"centésimaux";1;0;47016
"anastomosant";"anastomosante";"anastomosantes";"anastomosants";1;0;84913
"anathématisant";"anathématisante";"anathématisantes";"anathématisants";1;0;84914
"anathémisant";"anathémisante";"anathémisantes";"anathémisants";1;0;84915
"anatomisant";"anatomisante";"anatomisantes";"anatomisants";1;0;84916
"anesthésiant";"anesthésiante";"anesthésiantes";"anesthésiants";1;0;84920
"anglaisant";"anglaisante";"anglaisantes";"anglaisants";1;0;84921
"anglicisant";"anglicisante";"anglicisantes";"anglicisants";1;0;84922
"animalisant";"animalisante";"animalisantes";"animalisants";1;0;84925
"anisant";"anisante";"anisantes";"anisants";1;0;84927
"ankylosant";"ankylosante";"ankylosantes";"ankylosants";1;0;84928
"annualisant";"annualisante";"annualisantes";"annualisants";1;0;84934
"anodisant";"anodisante";"anodisantes";"anodisants";1;0;84937
"chryséléphantin";"chryséléphantine";"chryséléphantines";"chryséléphantins";1;0;47132
"antéposant";"antéposante";"antéposantes";"antéposants";1;0;84940
"cisalpin";"cisalpine";"cisalpines";"cisalpins";1;0;47175
"civilisateur";"civilisatrice";"civilisatrices";"civilisateurs";1;0;47183
"apaisant";"apaisante";"apaisantes";"apaisants";1;3;84945
"clunisien";"clunisienne";"clunisiennes";"clunisiens";1;0;47221
"cohésif";"cohésive";"cohésives";"cohésifs";1;0;47242
"apostasiant";"apostasiante";"apostasiantes";"apostasiants";1;0;84954
"colonisateur";"colonisatrice";"colonisatrices";"colonisateurs";1;3;47263
"communisant";"communisante";"communisantes";"communisants";1;0;47301
"appertisant";"appertisante";"appertisantes";"appertisants";1;0;84967
"appesantissant";"appesantissante";"appesantissantes";"appesantissants";1;0;84968
"complaisant";"complaisante";"complaisantes";"complaisants";1;2;47320
"apposant";"apposante";"apposantes";"apposants";1;2;84976
"apprivoisant";"apprivoisante";"apprivoisantes";"apprivoisants";1;0;84981
"approvisionnant";"approvisionnante";"approvisionnantes";"approvisionnants";1;0;84986
"arabisant";"arabisante";"arabisantes";"arabisants";1;0;84989
"confusionnel";"confusionnelle";"confusionnelles";"confusionnels";1;0;47409
"arasant";"arasante";"arasantes";"arasants";1;0;84990
"arborisant";"arborisante";"arborisantes";"arborisants";1;0;84993
"ardoisant";"ardoisante";"ardoisantes";"ardoisants";1;0;84999
"argotisant";"argotisante";"argotisantes";"argotisants";1;0;85001
"arisant";"arisante";"arisantes";"arisants";1;0;85004
"aromatisant";"aromatisante";"aromatisantes";"aromatisants";1;0;85008
"arraisonnant";"arraisonnante";"arraisonnantes";"arraisonnants";1;0;85014
"arrisant";"arrisante";"arrisantes";"arrisants";1;0;85021
"arrosant";"arrosante";"arrosantes";"arrosants";1;0;85024
"aseptisant";"aseptisante";"aseptisantes";"aseptisants";1;0;85028
"assaisonnant";"assaisonnante";"assaisonnantes";"assaisonnants";1;0;85037
"corrosif";"corrosive";"corrosives";"corrosifs";1;0;47589
"courtisan";"courtisane";"courtisanes";"courtisans";1;3;47636
"atomisant";"atomisante";"atomisantes";"atomisants";1;0;85070
"césarien";"césarienne";"césariennes";"césariens";1;0;47783
"attisant";"attisante";"attisantes";"attisants";1;0;85090
"diocésain";"diocésaine";"diocésaines";"diocésains";1;10;47908
"dionysien";"dionysienne";"dionysiennes";"dionysiens";1;0;47910
"disert";"diserte";"disertes";"diserts";1;0;47949
"avoisinant";"avoisinante";"avoisinantes";"avoisinants";1;1;85107
"automatisant";"automatisante";"automatisantes";"automatisants";1;0;85111
"autorisant";"autorisante";"autorisantes";"autorisants";1;270;85113
"autotomisant";"autotomisante";"autotomisantes";"autotomisants";1;0;85114
