"forme";"féminin";"féminin_pluriel";"pluriel";"z";"indice";"Id"
"générationnel";"générationnelle";"générationnelles";"générationnels";0;0;121840
"mauritanien";"mauritanienne";"mauritaniennes";"mauritaniens";0;0;121774
"centrafricain";"centrafricaine";"centrafricaines";"centrafricains";0;0;121781
"illustratif";"illustrative";"illustratives";"illustratifs";0;0;121793
"managérial";"managériale";"managériales";"managériaux";0;0;121578
"abbevillien";"abbevillienne";"abbevilliennes";"abbevilliens";0;0;45386
"abdominal";"abdominale";"abdominales";"abdominaux";0;4;45389
"abiétin";"abiétine";"abiétines";"abiétins";0;0;45392
"abject";"abjecte";"abjectes";"abjects";0;1;45393
"abortif";"abortive";"abortives";"abortifs";0;1;45399
"abracadabrant";"abracadabrante";"abracadabrantes";"abracadabrants";0;1;45403
"abrupt";"abrupte";"abruptes";"abrupts";0;10;45408
"abréviatif";"abréviative";"abréviatives";"abréviatifs";0;0;45411
"abscons";"absconse";"absconses";;0;0;45412
"absent";"absente";"absentes";"absents";0;11;45413
"absidal";"absidale";"absidales";"absidaux";0;0;45415
"absolu";"absolue";"absolues";"absolus";0;21;45416
"abstinent";"abstinente";"abstinentes";"abstinents";0;0;45422
"abaissant";"abaissante";"abaissantes";"abaissants";0;4;84633
"abandonnant";"abandonnante";"abandonnantes";"abandonnants";0;1;84634
"abâtardissant";"abâtardissante";"abâtardissantes";"abâtardissants";0;0;84636
"abattant";"abattante";"abattantes";"abattants";0;0;84637
"abcédant";"abcédante";"abcédantes";"abcédants";0;0;84638
"abdiquant";"abdiquante";"abdiquantes";"abdiquants";0;0;84639
"aberrant";"aberrante";"aberrantes";"aberrants";0;4;84640
"abêtissant";"abêtissante";"abêtissantes";"abêtissants";0;0;84641
"abhorrant";"abhorrante";"abhorrantes";"abhorrants";0;0;84642
"abîmant";"abîmante";"abîmantes";"abîmants";0;0;84643
"abjurant";"abjurante";"abjurantes";"abjurants";0;0;84644
"abstrus";"abstruse";"abstruses";;0;1;45425
"abyssal";"abyssale";"abyssales";"abyssaux";0;0;45429
"abyssin";"abyssine";"abyssines";"abyssins";0;0;45430
"abyssinien";"abyssinienne";"abyssiniennes";"abyssiniens";0;0;45431
"abélien";"abélienne";"abéliennes";"abéliens";0;5;45433
"acadien";"acadienne";"acadiennes";"acadiens";0;1;45436
"accapareur";"accapareuse";"accapareuses";"accapareurs";0;0;45443
"accentuel";"accentuelle";"accentuelles";"accentuels";0;0;45444
"accidentel";"accidentelle";"accidentelles";"accidentels";0;1;45451
"accommodateur";"accommodatrice";"accommodatrices";"accommodateurs";0;0;45455
"accort";"accorte";"accortes";"accorts";0;0;45461
"accoucheur";"accoucheuse";"accoucheuses";"accoucheurs";0;1;45463
"accrescent";"accrescente";"accrescentes";"accrescents";0;0;45467
"accrocheur";"accrocheuse";"accrocheuses";"accrocheurs";0;1;45468
"accréditif";"accréditive";"accréditives";"accréditifs";0;0;45469
"ablatant";"ablatante";"ablatantes";"ablatants";0;0;84645
"abloquant";"abloquante";"abloquantes";"abloquants";0;0;84646
"abolissant";"abolissante";"abolissantes";"abolissants";0;3;84647
"abominant";"abominante";"abominantes";"abominants";0;0;84648
"abondant";"abondante";"abondantes";"abondants";0;3;84649
"abonnant";"abonnante";"abonnantes";"abonnants";0;0;84650
"abonnissant";"abonnissante";"abonnissantes";"abonnissants";0;0;84651
"abordant";"abordante";"abordantes";"abordants";0;0;84652
"abornant";"abornante";"abornantes";"abornants";0;0;84653
"abouchant";"abouchante";"abouchantes";"abouchants";0;0;84654
"aboulant";"aboulante";"aboulantes";"aboulants";0;0;84655
"aboutant";"aboutante";"aboutantes";"aboutants";0;0;84656
"aboutissant";"aboutissante";"aboutissantes";"aboutissants";0;28;84657
"aboyant";"aboyante";"aboyantes";"aboyants";0;0;84658
"accumulateur";"accumulatrice";"accumulatrices";"accumulateurs";0;0;45472
"accélérateur";"accélératrice";"accélératrices";"accélérateurs";0;10;45475
"acescent";"acescente";"acescentes";"acescents";0;0;45478
"acheteur";"acheteuse";"acheteuses";"acheteurs";0;17;45482
"acheuléen";"acheuléenne";"acheuléennes";"acheuléens";0;0;45483
"achéen";"achéenne";"achéennes";"achéens";0;0;45488
"acineux";"acineuse";"acineuses";;0;0;45495
"aciéreux";"aciéreuse";"aciéreuses";;0;0;45496
"acridien";"acridienne";"acridiennes";"acridiens";0;0;45505
"acrimonieux";"acrimonieuse";"acrimonieuses";;0;0;45506
"actif";"active";"actives";"actifs";0;43;45512
"activateur";"activatrice";"activatrices";"activateurs";0;0;45515
"actuariel";"actuarielle";"actuarielles";"actuariels";0;0;45517
"abrégeant";"abrégeante";"abrégeantes";"abrégeants";0;0;84660
"abreuvant";"abreuvante";"abreuvantes";"abreuvants";0;0;84661
"abricotant";"abricotante";"abricotantes";"abricotants";0;0;84662
"abriant";"abriante";"abriantes";"abriants";0;0;84663
"abritant";"abritante";"abritantes";"abritants";0;2;84664
"abrogeant";"abrogeante";"abrogeantes";"abrogeants";0;110;84665
"abrutissant";"abrutissante";"abrutissantes";"abrutissants";0;2;84666
"absentant";"absentante";"absentantes";"absentants";0;0;84667
"absorbant";"absorbante";"absorbantes";"absorbants";0;5;84668
