"forme";"féminin";"féminin_pluriel";"pluriel";"z";"indice";"Id"
"polinisateur";;;"polinisateurs";1;0;121831
"décloisonnement";;;"décloisonnements";1;0;121772
"déresponsabilisation";;;"déresponsabilisations";1;0;121776
"schizophrène";;;"schizophrènes";1;0;121784
"resocialisation";;;"resocialisations";1;0;121787
"repositionnement";;;"repositionnements";1;0;121789
"faisabilité";;;"faisabilités";1;0;121582
"ecclésiaste";;;"ecclésiastes";1;0;121584
"abrasif";"abrasive";"abrasives";"abrasifs";1;3;45404
"abasourdissant";"abasourdissante";"abasourdissantes";"abasourdissants";1;0;84635
"abusif";"abusive";"abusives";"abusifs";1;11;45428
"abrasant";"abrasante";"abrasantes";"abrasants";1;0;84659
"accusateur";"accusatrice";"accusatrices";"accusateurs";1;7;45473
"accusatoire";;;"accusatoires";1;4;45474
"acquisitif";"acquisitive";"acquisitives";"acquisitifs";1;0;45502
"délocalisation";;;"délocalisations";1;0;121461
"mondialisation";;;"mondialisations";1;74;121463
"globalisation";;;"globalisations";1;4;121464
"labellisation";;;"labellisations";1;6;121466
"limousine";;;"limousines";1;0;121370
"viennoiseries";;;"viennoiseries";1;1;121372
"conclusif";"conclusive";"conclusives";"conclusifs";1;0;121374
"alsacien";"alsacienne";"alsaciennes";"alsaciens";1;1;45739
"aléseur";"aléseuse";"aléseuses";"aléseurs";1;0;45757
"achromatisant";"achromatisante";"achromatisantes";"achromatisants";1;0;84720
"aciselant";"aciselante";"aciselantes";"aciselants";1;0;84724
"amazonien";"amazonienne";"amazoniennes";"amazoniens";1;1;45765
"ambrosien";"ambrosienne";"ambrosiennes";"ambrosiens";1;0;45772
"amnésique";;;"amnésiques";1;0;45792
"actualisant";"actualisante";"actualisantes";"actualisants";1;0;84731
"analgésique";;;"analgésiques";1;0;45832
"analysable";;;"analysables";1;0;45836
"analyseur";"analyseuse";"analyseuses";"analyseurs";1;0;45837
"anarchisant";"anarchisante";"anarchisantes";"anarchisants";1;0;45842
"adjectivisant";"adjectivisante";"adjectivisantes";"adjectivisants";1;0;84737
"anesthésique";;;"anesthésiques";1;0;45859
"anisotrope";;;"anisotropes";1;2;45880
"adonisant";"adonisante";"adonisantes";"adonisants";1;0;84745
"antiparasite";;;"antiparasites";1;0;45946
"antiseptique";;;"antiseptiques";1;1;45960
"antisocial";"antisociale";"antisociales";"antisociaux";1;1;45961
"antisémite";;;"antisémites";1;1;45965
"aphasique";;;"aphasiques";1;0;45991
"aphrodisiaque";;;"aphrodisiaques";1;0;45994
"adhésif";"adhésive";"adhésives";"adhésifs";1;17;45538
"abusant";"abusante";"abusantes";"abusants";1;3;84676
"accessoirisant";"accessoirisante";"accessoirisantes";"accessoirisants";1;0;84685
"accessorisant";"accessorisante";"accessorisantes";"accessorisants";1;0;84686
"agatisé";"agatisée";"agatisées";"agatisés";1;0;45615
"aiguiseur";"aiguiseuse";"aiguiseuses";"aiguiseurs";1;0;45655
"aisé";"aisée";"aisées";"aisés";1;26;45663
"alezan";"alezane";"alezanes";"alezans";1;6;45693
"alizé";"alizée";"alizées";"alizés";1;5;45705
"accusant";"accusante";"accusantes";"accusants";1;5;84708
"allergisant";"allergisante";"allergisantes";"allergisants";1;0;45714
"allusif";"allusive";"allusives";"allusifs";1;1;45726
"apprivoisable";;;"apprivoisables";1;0;46025
"ardoisier";"ardoisière";"ardoisières";"ardoisiers";1;0;46085
"arlésien";"arlésienne";"arlésiennes";"arlésiens";1;0;46105
"arrosable";;;"arrosables";1;0;46123
"artisanal";"artisanale";"artisanales";"artisanaux";1;5;46136
"artésien";"artésienne";"artésiennes";"artésiens";1;1;46142
"aseptique";;;"aseptiques";1;1;46156
"asexuel";"asexuelle";"asexuelles";"asexuels";1;0;46157
"asexué";"asexuée";"asexuées";"asexués";1;2;46158
"asiatique";;;"asiatiques";1;4;46159
"asocial";"asociale";"asociales";"asociaux";1;0;46160
"athétosique";;;"athétosiques";1;0;46224
"africanisant";"africanisante";"africanisantes";"africanisants";1;0;84798
"automobilisable";;;"automobilisables";1;0;46301
"agonisant";"agonisante";"agonisantes";"agonisants";1;5;84809
"azilien";"azilienne";"aziliennes";"aziliens";1;0;46349
"azimutal";"azimutale";"azimutales";"azimutaux";1;0;46350
"azotique";;;"azotiques";1;0;46352
"azoté";"azotée";"azotées";"azotés";1;3;46353
"azotémique";;;"azotémiques";1;0;46354
"azoïque";;;"azoïques";1;0;46355
"aztèque";;;"aztèques";1;3;46356
"azyme";;;"azymes";1;0;46359
"balzacien";"balzacienne";"balzaciennes";"balzaciens";1;0;46399
"balzan";"balzane";"balzanes";"balzans";1;0;46400
"basal";"basale";"basales";"basaux";1;0;46429
"basaltique";;;"basaltiques";1;0;46430
"basilaire";;;"basilaires";1;0;46433
"basilical";"basilicale";"basilicales";"basilicaux";1;0;46434
"basilique";;;"basiliques";1;7;46435
"basique";;;"basiques";1;14;46436
"basophile";;;"basophiles";1;0;46437
"benzoïque";;;"benzoïques";1;0;46466
"benzénique";;;"benzéniques";1;3;46467
"aiguisant";"aiguisante";"aiguisantes";"aiguisants";1;0;84831
"bienfaisant";"bienfaisante";"bienfaisantes";"bienfaisants";1;5;46496
"biophysique";;;"biophysiques";1;0;46536
"bipolarisé";"bipolarisée";"bipolarisées";"bipolarisés";1;0;46544
"bisannuel";"bisannuelle";"bisannuelles";"bisannuels";1;0;46549
"bisexuel";"bisexuelle";"bisexuelles";"bisexuels";1;0;46554
"bisexué";"bisexuée";"bisexuées";"bisexués";1;0;46555
"bizarre";"";"boubou";"bizarres";1;8;46564
"bizarroïde";;;"bizarroïdes";1;0;46565
"alcalinisant";"alcalinisante";"alcalinisantes";"alcalinisants";1;1;84844
"alcalisant";"alcalisante";"alcalisantes";"alcalisants";1;0;84845
"alcoolisant";"alcoolisante";"alcoolisantes";"alcoolisants";1;0;84846
"alésant";"alésante";"alésantes";"alésants";1;0;84849
"allégorisant";"allégorisante";"allégorisantes";"allégorisants";1;0;84859
"brindezingue";;;"brindezingues";1;0;46693
"brésilien";"brésilienne";"brésiliennes";"brésiliens";1;6;46725
"alphabétisant";"alphabétisante";"alphabétisantes";"alphabétisants";1;0;84870
"byzantin";"byzantine";"byzantines";"byzantins";1;3;46759
"amenuisant";"amenuisante";"amenuisantes";"amenuisants";1;0;84891
"américanisant";"américanisante";"américanisantes";"américanisants";1;0;84892
"canalisable";;;"canalisables";1;0;46860
"capitalisable";;;"capitalisables";1;0;46879
"cartésien";"cartésienne";"cartésiennes";"cartésiens";1;3;46949
"casanier";"casanière";"casanières";"casaniers";1;1;46951
"casuel";"casuelle";"casuelles";"casuels";1;0;46960
"amusant";"amusante";"amusantes";"amusants";1;1;84910
"analgésiant";"analgésiante";"analgésiantes";"analgésiants";1;0;84911
"analysant";"analysante";"analysantes";"analysants";1;12;84912
"caucasien";"caucasienne";"caucasiennes";"caucasiens";1;2;46980
"causal";"causale";"causales";"causaux";1;1;46984
"causatif";"causative";"causatives";"causatifs";1;0;46985
"causeur";"causeuse";"causeuses";"causeurs";1;1;46986
"cellulosique";;;"cellulosiques";1;2;46996
"centralisateur";"centralisatrice";"centralisatrices";"centralisateurs";1;0;47010
"centésimal";"centésimale";"centésimales";"centésimaux";1;0;47016
"anastomosant";"anastomosante";"anastomosantes";"anastomosants";1;0;84913
"anathématisant";"anathématisante";"anathématisantes";"anathématisants";1;0;84914
"anathémisant";"anathémisante";"anathémisantes";"anathémisants";1;0;84915
"anatomisant";"anatomisante";"anatomisantes";"anatomisants";1;0;84916
"anesthésiant";"anesthésiante";"anesthésiantes";"anesthésiants";1;0;84920
"anglaisant";"anglaisante";"anglaisantes";"anglaisants";1;0;84921
"anglicisant";"anglicisante";"anglicisantes";"anglicisants";1;0;84922
"animalisant";"animalisante";"animalisantes";"animalisants";1;0;84925
"anisant";"anisante";"anisantes";"anisants";1;0;84927
"ankylosant";"ankylosante";"ankylosantes";"ankylosants";1;0;84928
"annualisant";"annualisante";"annualisantes";"annualisants";1;0;84934
"anodisant";"anodisante";"anodisantes";"anodisants";1;0;84937
"chromosomique";;;"chromosomiques";1;1;47128
