"forme";"féminin";"féminin_pluriel";"pluriel";"z";"indice";"Id"
"gravissime";;;"gravissimes";0;0;121833
"cybernautique";;;"cybernautiques";0;0;121835
"générationnel";"générationnelle";"générationnelles";"générationnels";0;0;121840
"éjectable";;;"éjectables";0;0;121843
"grégarisme";;;"grégarismes";0;0;121844
"ergonomie";;;"ergonomies";0;0;121845
"conseil des ministres";;;"conseils des ministres";0;0;121849
"énième";;;"énièmes";0;0;121852
"réaffirmation";;;"réaffirmations";0;0;121853
"émulateur";;;"émulateurs";0;0;121854
"équanime";;;"équanimes";0;0;121858
"démasquage";;;"démasquages";0;0;121859
"utopiste";;;"utopistes";0;0;121773
"mauritanien";"mauritanienne";"mauritaniennes";"mauritaniens";0;0;121774
"Djihadiste";;;"Djihadistes";0;0;121777
"conteneur";;;"conteneurs";0;0;121779
"antidépresseur";;;"antidépresseurs";0;0;121780
"centrafricain";"centrafricaine";"centrafricaines";"centrafricains";0;0;121781
"majorité qualifiée";;;"majorités qualifiées";0;0;121782
"pluridisciplinarité";;;"pluridisciplinarités";0;0;121786
"minimaliste";;;"minimalistes";0;0;121788
"illustratif";"illustrative";"illustratives";"illustratifs";0;0;121793
"suggestivité";;;"suggestivités";0;0;121796
"europhobe";;;"europhobes";0;0;121798
"métamphétamine";;;"métamphétamines";0;0;121799
"multirécidiviste";;;"multirécidivistes";0;0;121800
"intermédiation";;;"intermédiations";0;0;121801
"visiosurveillance";;;"visiosurveillances";0;0;121577
"managérial";"managériale";"managériales";"managériaux";0;0;121578
"procédure législative ordinair";;;"procédures législatives ordina";0;0;121581
"espace de liberté, de sécurité";;;"espaces de liberté, de sécurit";0;0;121586
"traité de Schengen";;;"traités de Schengen";0;0;121588
"abbevillien";"abbevillienne";"abbevilliennes";"abbevilliens";0;0;45386
"abdicataire";;;"abdicataires";0;0;45388
"abdominal";"abdominale";"abdominales";"abdominaux";0;4;45389
"abducteur";;;"abducteurs";0;0;45390
"abiotique";;;"abiotiques";0;0;45391
"abiétin";"abiétine";"abiétines";"abiétins";0;0;45392
"abject";"abjecte";"abjectes";"abjects";0;1;45393
"abolitionniste";;;"abolitionnistes";0;0;45394
"abominable";;;"abominables";0;11;45395
"abordable";;;"abordables";0;11;45397
"aborigène";;;"aborigènes";0;1;45398
"abortif";"abortive";"abortives";"abortifs";0;1;45399
"aboulique";;;"abouliques";0;0;45400
"abracadabrant";"abracadabrante";"abracadabrantes";"abracadabrants";0;1;45403
"abrogeable";;;"abrogeables";0;0;45407
"abrupt";"abrupte";"abruptes";"abrupts";0;10;45408
"abréviatif";"abréviative";"abréviatives";"abréviatifs";0;0;45411
"absent";"absente";"absentes";"absents";0;11;45413
"absentéiste";;;"absentéistes";0;0;45414
"absidal";"absidale";"absidales";"absidaux";0;0;45415
"absolu";"absolue";"absolues";"absolus";0;21;45416
"absolutiste";;;"absolutistes";0;0;45417
"absolutoire";;;"absolutoires";0;0;45418
"abstentionniste";;;"abstentionnistes";0;1;45421
"abstinent";"abstinente";"abstinentes";"abstinents";0;0;45422
"abstracteur";;;"abstracteurs";0;0;45423
"abaissant";"abaissante";"abaissantes";"abaissants";0;4;84633
"abandonnant";"abandonnante";"abandonnantes";"abandonnants";0;1;84634
"abâtardissant";"abâtardissante";"abâtardissantes";"abâtardissants";0;0;84636
"abattant";"abattante";"abattantes";"abattants";0;0;84637
"abcédant";"abcédante";"abcédantes";"abcédants";0;0;84638
"abdiquant";"abdiquante";"abdiquantes";"abdiquants";0;0;84639
"aberrant";"aberrante";"aberrantes";"aberrants";0;4;84640
"abêtissant";"abêtissante";"abêtissantes";"abêtissants";0;0;84641
"abhorrant";"abhorrante";"abhorrantes";"abhorrants";0;0;84642
"abîmant";"abîmante";"abîmantes";"abîmants";0;0;84643
"abjurant";"abjurante";"abjurantes";"abjurants";0;0;84644
"abstème";;;"abstèmes";0;0;45426
"absurde";;;"absurdes";0;14;45427
"abyssal";"abyssale";"abyssales";"abyssaux";0;0;45429
"abyssin";"abyssine";"abyssines";"abyssins";0;0;45430
"abyssinien";"abyssinienne";"abyssiniennes";"abyssiniens";0;0;45431
"abécédaire";;;"abécédaires";0;1;45432
"abélien";"abélienne";"abéliennes";"abéliens";0;5;45433
"acadien";"acadienne";"acadiennes";"acadiens";0;1;45436
"académique";;;"académiques";0;11;45437
"acariâtre";;;"acariâtres";0;0;45438
"acaule";;;"acaules";0;0;45439
"accapareur";"accapareuse";"accapareuses";"accapareurs";0;0;45443
"accentuel";"accentuelle";"accentuelles";"accentuels";0;0;45444
"acceptable";;;"acceptables";0;250;45446
"accessible";;;"accessibles";0;106;45449
"accessoire";;;"accessoires";0;32;45450
"accidentel";"accidentelle";"accidentelles";"accidentels";0;1;45451
"acclimatable";;;"acclimatables";0;0;45453
"accommodateur";"accommodatrice";"accommodatrices";"accommodateurs";0;0;45455
"accordable";;;"accordables";0;0;45459
"accore";;;"accores";0;0;45460
"accort";"accorte";"accortes";"accorts";0;0;45461
"accostable";;;"accostables";0;0;45462
"accoucheur";"accoucheuse";"accoucheuses";"accoucheurs";0;1;45463
"accrescent";"accrescente";"accrescentes";"accrescents";0;0;45467
"accrocheur";"accrocheuse";"accrocheuses";"accrocheurs";0;1;45468
"accréditif";"accréditive";"accréditives";"accréditifs";0;0;45469
"ablatant";"ablatante";"ablatantes";"ablatants";0;0;84645
"abloquant";"abloquante";"abloquantes";"abloquants";0;0;84646
"abolissant";"abolissante";"abolissantes";"abolissants";0;3;84647
"abominant";"abominante";"abominantes";"abominants";0;0;84648
"abondant";"abondante";"abondantes";"abondants";0;3;84649
"abonnant";"abonnante";"abonnantes";"abonnants";0;0;84650
"abonnissant";"abonnissante";"abonnissantes";"abonnissants";0;0;84651
"abordant";"abordante";"abordantes";"abordants";0;0;84652
"abornant";"abornante";"abornantes";"abornants";0;0;84653
"abouchant";"abouchante";"abouchantes";"abouchants";0;0;84654
"aboulant";"aboulante";"aboulantes";"aboulants";0;0;84655
"aboutant";"aboutante";"aboutantes";"aboutants";0;0;84656
"aboutissant";"aboutissante";"aboutissantes";"aboutissants";0;28;84657
"aboyant";"aboyante";"aboyantes";"aboyants";0;0;84658
"accumulateur";"accumulatrice";"accumulatrices";"accumulateurs";0;0;45472
"accélérateur";"accélératrice";"accélératrices";"accélérateurs";0;10;45475
"acerbe";;;"acerbes";0;3;45477
"acescent";"acescente";"acescentes";"acescents";0;0;45478
"achetable";;;"achetables";0;0;45481
