"Id";"forme";"féminin";"féminin_pluriel";"pluriel";"type";"présent_dans_table_noms_et_adjectifs";"z";"participe_présent_orésent_dans_table_noms_et_adjectifs";"participe_passé_présent_dans_table_noms_et_adjectifs";"adverbe";"pluriel_correct";"féminin_correct";"féminin_pluriel_correct";"forme_correcte";"doublons";"à supprimer";"indice"
121831;"polinisateur";;;"polinisateurs";;0;1;0;0;0;;;;;0;0;0
121832;"Patrick Calvar";;;;;0;0;0;0;0;;;;;0;0;0
121833;"gravissime";;;"gravissimes";;0;0;0;0;0;;;;;0;0;0
121834;"Fabrice Leggeri";;;;;0;0;0;0;0;;;;;0;0;0
121835;"cybernautique";;;"cybernautiques";;0;0;0;0;0;;;;;0;0;0
121836;"entraide judiciaire en matière pénale";;;;;0;0;0;0;0;;;;;0;0;0
121837;"Sylvie Guillaume";;;;;0;0;0;0;0;;;;;0;0;0
121838;"Claude Moraes";;;;;0;0;0;0;0;;;;;0;0;0
121839;"Jérôme Bonnafont";;;;;0;0;0;0;0;;;;;0;0;0
121840;"générationnel";"générationnelle";"générationnelles";"générationnels";;0;0;0;0;0;;;;;0;0;0
121842;"Thierry Lataste";;;;;0;0;0;0;0;;;;;0;0;0
121843;"éjectable";;;"éjectables";;0;0;0;0;0;;;;;0;0;0
121844;"grégarisme";;;"grégarismes";;0;0;0;0;0;;;;;0;0;0
121845;"ergonomie";;;"ergonomies";;0;0;0;0;0;;;;;0;0;0
121846;"en-dessous";;;;;0;0;0;0;0;;;;;0;0;0
121847;"Lettonie";;;;;0;0;0;0;0;;;;;0;0;0
121848;"Pierre Sellal";;;;;0;0;0;0;0;;;;;0;0;0
121849;"conseil des ministres";;;"conseils des ministres";;0;0;0;0;0;;;;;0;0;0
121850;"psychiquement";;;;;0;0;0;0;0;;;;;0;0;0
121851;"Renaud Vedel";;;;;0;0;0;0;0;;;;;0;0;0
121852;"énième";;;"énièmes";;0;0;0;0;0;;;;;0;0;0
121853;"réaffirmation";;;"réaffirmations";;0;0;0;0;0;;;;;0;0;0
121854;"émulateur";;;"émulateurs";;0;0;0;0;0;;;;;0;0;0
121855;"Martin Schultz";;;;;0;0;0;0;0;;;;;0;0;0
121856;"Beauvau";;;;;0;0;0;0;0;;;;;0;0;0
121857;"Peter Storr";;;;;0;0;0;0;0;;;;;0;0;0
121858;"équanime";;;"équanimes";;0;0;0;0;0;;;;;0;0;0
121859;"démasquage";;;"démasquages";;0;0;0;0;0;;;;;0;0;0
121860;"Facebook";;;;;0;0;0;0;0;;;;;0;0;0
121772;"décloisonnement";;;"décloisonnements";;0;1;0;0;0;;;;;0;0;0
121773;"utopiste";;;"utopistes";;0;0;0;0;0;;;;;0;0;0
121774;"mauritanien";"mauritanienne";"mauritaniennes";"mauritaniens";;0;0;0;0;0;;;;;0;0;0
121775;"Stockholm";;;;;0;0;0;0;0;;;;;0;0;0
121776;"déresponsabilisation";;;"déresponsabilisations";;0;1;0;0;0;;;;;0;0;0
121777;"Djihadiste";;;"Djihadistes";;0;0;0;0;0;;;;;0;0;0
121778;"Rotterdam";;;;;0;0;0;0;0;;;;;0;0;0
121779;"conteneur";;;"conteneurs";;0;0;0;0;0;;;;;0;0;0
121780;"antidépresseur";;;"antidépresseurs";;0;0;0;0;0;;;;;0;0;0
121781;"centrafricain";"centrafricaine";"centrafricaines";"centrafricains";;0;0;0;0;0;;;;;0;0;0
121782;"majorité qualifiée";;;"majorités qualifiées";;0;0;0;0;0;;;;;0;0;0
121783;"qui plus est";;;;;0;0;0;0;0;;;;;0;0;0
121784;"schizophrène";;;"schizophrènes";;0;1;0;0;0;;;;;0;0;0
121785;"consubstantiellement";;;;;0;0;0;0;0;;;;;0;0;0
121786;"pluridisciplinarité";;;"pluridisciplinarités";;0;0;0;0;0;;;;;0;0;0
121787;"resocialisation";;;"resocialisations";;0;1;0;0;0;;;;;0;0;0
121788;"minimaliste";;;"minimalistes";;0;0;0;0;0;;;;;0;0;0
121789;"repositionnement";;;"repositionnements";;0;1;0;0;0;;;;;0;0;0
121790;"Bernard Cazeneuve";;;;;0;1;0;0;0;;;;;0;0;0
121791;"inhabituellement";;;;;0;0;0;0;0;;;;;0;0;0
121792;"Benelux";;;;;0;0;0;0;0;;;;;0;0;0
121793;"illustratif";"illustrative";"illustratives";"illustratifs";;0;0;0;0;0;;;;;0;0;0
121794;"Nouakchott";;;;;0;0;0;0;0;;;;;0;0;0
121795;"fugacement";;;;;0;0;0;0;0;;;;;0;0;0
121796;"suggestivité";;;"suggestivités";;0;0;0;0;0;;;;;0;0;0
121797;"médiatiquement";;;;;0;0;0;0;0;;;;;0;0;0
121798;"europhobe";;;"europhobes";;0;0;0;0;0;;;;;0;0;0
121799;"métamphétamine";;;"métamphétamines";;0;0;0;0;0;;;;;0;0;0
121800;"multirécidiviste";;;"multirécidivistes";;0;0;0;0;0;;;;;0;0;0
121801;"intermédiation";;;"intermédiations";;0;0;0;0;0;;;;;0;0;0
121577;"visiosurveillance";;;"visiosurveillances";;0;0;0;0;0;;;;;0;0;0
121578;"managérial";"managériale";"managériales";"managériaux";;0;0;0;0;0;;;;;0;0;0
121579;"imperium";;;;;0;0;0;0;0;;;;;0;0;2
121581;"procédure législative ordinaire";;;"procédures législatives ordinaires";;0;0;0;0;0;;;;;0;0;0
121582;"faisabilité";;;"faisabilités";;0;1;0;0;0;;;;;0;0;0
121583;"Philippe";;;;;0;0;0;0;0;;;;;0;0;198
121584;"ecclésiaste";;;"ecclésiastes";;0;1;0;0;0;;;;;0;0;0
121585;"quiconque";;;;;0;0;0;0;0;;;;;0;0;8
121586;"espace de liberté, de sécurité et de justice";;;"espaces de liberté, de sécurité et de justice";;0;0;0;0;0;;;;;0;0;0
121587;"Lisbonne";;;;;0;0;0;0;0;;;;;0;0;2082
121588;"traité de Schengen";;;"traités de Schengen";;0;0;0;0;0;;;;;0;0;0
121589;"ailleurs";;;;;0;0;0;0;0;;;;;0;0;2884
45386;"abbevillien";"abbevillienne";"abbevilliennes";"abbevilliens";3;1;0;0;0;0;;;;;0;0;0
45388;"abdicataire";;;"abdicataires";1;0;0;0;0;0;;;;;0;0;0
45389;"abdominal";"abdominale";"abdominales";"abdominaux";1;0;0;0;0;0;;;;;0;0;4
45390;"abducteur";;;"abducteurs";1;0;0;0;0;0;;;;;0;0;0
45391;"abiotique";;;"abiotiques";1;0;0;0;0;0;;;;;0;0;0
45392;"abiétin";"abiétine";"abiétines";"abiétins";1;0;0;0;0;0;;;;;0;0;0
45393;"abject";"abjecte";"abjectes";"abjects";1;0;0;0;0;0;;;;;0;0;1
45394;"abolitionniste";;;"abolitionnistes";3;1;0;0;0;0;;;;;0;0;0
45395;"abominable";;;"abominables";1;0;0;0;0;0;;;;;0;0;11
45397;"abordable";;;"abordables";1;0;0;0;0;0;;;;;0;0;11
45398;"aborigène";;;"aborigènes";3;1;0;0;0;0;;;;;0;0;1
45399;"abortif";"abortive";"abortives";"abortifs";1;0;0;0;0;0;"abortifs";"abortive";"abortives";;0;0;1
45400;"aboulique";;;"abouliques";3;1;0;0;0;0;;;;;0;0;0
45403;"abracadabrant";"abracadabrante";"abracadabrantes";"abracadabrants";1;0;0;0;0;0;;;;;0;0;1
45404;"abrasif";"abrasive";"abrasives";"abrasifs";3;1;1;0;0;0;"abrasifs";"abrasive";"abrasives";;0;0;3
45407;"abrogeable";;;"abrogeables";1;0;0;0;0;0;;;;;0;0;0
45408;"abrupt";"abrupte";"abruptes";"abrupts";3;1;0;0;0;0;;;;;0;0;10
45411;"abréviatif";"abréviative";"abréviatives";"abréviatifs";1;0;0;0;0;0;"abréviatifs";"abréviative";"abréviatives";;0;0;0
45412;"abscons";"absconse";"absconses";;3;1;0;0;0;0;;;;;0;0;0
45413;"absent";"absente";"absentes";"absents";1;0;0;0;0;0;;;;;0;0;11
45414;"absentéiste";;;"absentéistes";3;1;0;0;0;0;;;;;0;0;0
