"Numéro","conpre1p","conpre1s","conpre2p","conpre2s","conpre3p","conpre3s","imppre1p","imppre2p","imppre2s","indfut1p","indfut1s","indfut2p","indfut2s","indfut3p","indfut3s","indimp1p","indimp1s","indimp2p","indimp2s","indimp3p","indimp3s","indpre1p","indpre1s","indpre2p","indpre2s","indpre3p","indpre3s","infinitif","parpasF","parpasM","parpre","passim1p","passim1s","passim2p","passim2s","passim3p","passim3s","subimp1p","subimp1s","subimp2p","subimp2s","subimp3p","subimp3s","subpre1p","subpre1s","subpre2p","subpre2s","subpre3p","subpre3s"
"1","abaisserions","abaisserais","abaisseriez","abaisserais","abaisseraient","abaisserait","abaissons","abaissez","abaisse","abaisserons","abaisserai","abaisserez","abaisseras","abaisseront","abaissera","abaissions","abaissais","abaissiez","abaissais","abaissaient","abaissait","abaissons","abaisse","abaissez","abaisses","abaissent","abaisse","abaisser","abaissée","abaissé","abaissant","abaissâmes","abaissai","abaissâtes","abaissas","abaissèrent","abaissa","abaissassions","abaissasse","abaissassiez","abaissasses","abaissassent","abaissasse","abaissions","abaisse","abaissiez","abaisses","abaissent","abaisse"
"2","abandonnerions","abandonnerais","abandonneriez","abandonnerais","abandonneraient","abandonnerait","abandonnons","abandonnez","abandonne","abandonnerons","abandonnerai","abandonnerez","abandonneras","abandonneront","abandonnera","abandonnions","abandonnais","abandonniez","abandonnais","abandonnaient","abandonnait","abandonnons","abandonne","abandonnez","abandonnes","abandonnent","abandonne","abandonner","abandonnée","abandonné","abandonnant","abandonnâmes","abandonnai","abandonnâtes","abandonnas","abandonnèrent","abandonna","abandonnassions","abandonnasse","abandonnassiez","abandonnasses","abandonnassent","abandonnât","abandonnions","abandonne","abandonniez","abandonnes","abandonnent","abandonne"
"3","abasourdirions","abasourdirais","abasourdiriez","abasourdirais","abasourdiraient","abasourdirait","abasourdissons","abasourdissez","abasourdis","abasourdirons","abasourdirai","abasourdirez","abasourdiras","abasourdiront","abasourdira","abasourdissions","abasourdissais","abasourdissiez","abasourdissais","abasourdissaient","abasourdissait","abasourdissons","abasourdis","abasourdissez","abasourdis","abasourdissent","abasourdit","abasourdir","abasourdie","abasourdi","abasourdissant","abasourdîmes","abasourdis","abasourdîtes","abasourdis","abasourdirent","abasourdit","abasourdissions","abasourdisse","abasourdissiez","abasourdisses","abasourdissent","abasourdît","abasourdissions","abasourdisse","abasourdissiez","abasourdisses","abasourdissent","abasourdisse"
"4","abâtardirions","abâtardirais","abâtardiriez","abâtardirais","abâtardiraient","abâtardirait","abâtardissons","abâtardissez","abâtardis","abâtardirons","abâtardirai","abâtardirez","abâtardiras","abâtardiront","abâtardira","abâtardissions","abâtardissais","abâtardissiez","abâtardissais","abâtardissaient","abâtardissait","abâtardissons","abâtardis","abâtardissez","abâtardis","abâtardissent","abâtardit","abâtardir","abâtardie","abâtardi","abâtardissant","abâtardîmes","abâtardis","abâtardîtes","abâtardis","abâtardirent","abâtardit","abâtardissions","abâtardisse","abâtardissiez","abâtardisses","abâtardissent","abâtardît","abâtardissions","abâtardisse","abâtardissiez","abâtardisses","abâtardissent","abâtardisse"
"5","abattrions","abattrais","abattriez","abattrais","abattraient","abattrait","abattons","abattez","abats","abattrons","abattrai","abattrez","abattras","abattront","abattra","abattions","abattais","abattiez","abattais","abattaient","abattait","abattons","abats","abattez","abats","abattent","abat","abattre","abattue","abattu","abattant","abattîmes","abattis","abattîtes","abattis","abattirent","abattit","abattissions","abattisse","abattissiez","abattisses","abattissent","abattît","abattions","abatte","abattiez","abattes","abattent","abatte"
"6","abcederions","abcederais","abcederiez","abcederais","abcederaient","abcederait","abcédons","abcédez","abcède","abcederons","abcederai","abcederez","abcederas","abcederont","abcedera","abcédions","abcédais","abcédiez","abcédais","abcédaient","abcédait","abcédons","abcède","abcédez","abcèdes","abcèdent","abcède","abcéder","abcédée","abcédé","abcédant","abcédâmes","abcédai","abcédâtes","abcédas","abcédèrent","abcéda","abcédassions","abcédasse","abcédassiez","abcédasses","abcédassent","abcédât","abcédions","abcède","abcédiez","abcèdes","abcèdent","abcède"
"7","abdiquerions","abdiquerais","abdiqueriez","abdiquerais","abdiqueraient","abdiquerait","abdiquons","abdiquez","abdique","abdiquerons","abdiquerai","abdiquerez","abdiqueras","abdiqueront","abdiquera","abdiquions","abdiquais","abdiquiez","abdiquais","abdiquaient","abdiquait","abdiquons","abdique","abdiquez","abdiques","abdiquent","abdique","abdiquer","abdiquée","abdiqué","abdiquant","abdiquâmes","abdiquai","abdiquâtes","abdiquas","abdiquèrent","abdiqua","abdiquassions","abdiquasse","abdiquassiez","abdiquasses","abdiquassent","abdiquât","abdiquions","abdique","abdiquiez","abdiques","abdiquent","abdique"
"8","aberrerions","aberrerais","aberreriez","aberrerais","aberreraient","aberrerait","aberrons","aberrez","aberre","aberrerons","aberrerai","aberrerez","aberreras","aberreront","aberrera","aberrions","aberrais","aberriez","aberrais","aberraient","aberrait","aberrons","aberre","aberrez","aberres","aberrent","aberre","aberrer","aberrée","aberré","aberrant","aberrâmes","aberrai","aberrâtes","aberras","aberrèrent","aberra","aberrassions","aberrasse","aberrassiez","aberrasses","aberrassent","aberrât","aberrions","aberre","aberriez","aberres","aberrent","aberre"
"9","abêtirions","abêtirais","abêtiriez","abêtirais","abêtiraient","abêtirait","abêtissons","abêtissez","abêtis","abêtirons","abêtirai","abêtirez","abêtiras","abêtiront","abêtira","abêtissions","abêtissais","abêtissiez","abêtissais","abêtissaient","abêtissait","abêtissons","abêtis","abêtissez","abêtis","abêtissent","abêtit","abêtir","abêtie","abêti","abêtissant","abêtîmes","abêtis","abêtîtes","abêtis","abêtirent","abêtit","abêtissions","abêtisse","abêtissiez","abêtisses","abêtissent","abêtît","abêtissions","abêtisse","abêtissiez","abêtisses","abêtissent","abêtisse"
"10","abhorrerions","abhorrerais","abhorreriez","abhorrerais","abhorreraient","abhorrerait","abhorrons","abhorrez","abhorre","abhorrerons","abhorrerai","abhorrerez","abhorreras","abhorreront","abhorrera","abhorrions","abhorrais","abhorriez","abhorrais","abhorraient","abhorrait","abhorrons","abhorre","abhorrez","abhorres","abhorrent","abhorre","abhorrer","abhorrée","abhorré","abhorrant","abhorrâmes","abhorrai","abhorrâtes","abhorras","abhorrèrent","abhorra","abhorrassions","abhorrasse","abhorrassiez","abhorrasses","abhorrassent","abhorrât","abhorrions","abhorre","abhorriez","abhorres","abhorrent","abhorre"
